news_headline,news_article,news_category
Why is govt confused on economy: Priyanka on Ola-Uber remarks,"Congress' Priyanka Gandhi Vadra on Thursday said that before elections government stated that Ola and Uber increased employment and it's now blaming them for automobile sector's slowdown. ""Why is BJP government so confused about the economy?"" she added. Earlier, Finance Minister Nirmala Sitharaman said millennials choosing Ola and Uber over buying vehicles has led to automobile sector's slowdown.",politics
BJP is standing with Chinmayanand: AAP leader Sanjay Singh,"AAP leader Sanjay Singh on Thursday alleged that BJP is ""standing"" with its party leader Swami Chinmayanand, who has been accused of physically exploiting a law student. ""She (the victim) submitted proof...to SIT and it's also available with the media but it has maintained silence,"" Singh said. The student has accused Chinmayanand of physically exploiting her for one year.",politics
Finance Minister's comments on inflation were shocking: Cong,"After Finance Minister Nirmala Sitharaman's press conference on Saturday about the current economic situation among other issues, Congress termed her comments on inflation as shocking. ""She said inflation is under control...She didn't announce any measures to address the current economic situation,"" Congress leader Anand Sharma said. ""BJP...lacks the vision to revive the economy,"" Sharma added.",politics
Economy in grim state but govt indulging in vendetta politics: Sonia,"Congress interim President Sonia Gandhi on Thursday said the economic situation in the country is very grim, but the government is indulging in ""vendetta politics"". ""Losses are mounting. All that the government is doing is indulging in unprecedented vendetta politics to divert attention from mounting losses,"" she added. ""Democracy is at peril,"" Sonia further said.",politics
"Pledge to fight for Muslim sisters, develop J&K and Ladakh: PM","Prime Minister Narendra Modi on Thursday asserted that his government has taken several measures to remove corruption, bring about development and root out terrorism. ""We pledge to...fight for the rights of Muslim sisters,"" PM Modi added. ""We aim to bring about development in Jammu & Kashmir and Ladakh, the work for which has begun,"" the PM further said.",politics
Govt should reconsider its decision on traffic fines: Kamal Nath,"Madhya Pradesh CM Kamal Nath on Thursday said the government must reconsider the quantum of penalties for traffic violations and give relief to the people. ""We also want to put a stop on road accidents...but it must be seen that the penalty is not unviable,"" he added. Penalties should be in accordance with people's paying capacity, Nath further said.",politics
I did more work than an elected govt: J&K Guv Satya Pal Malik,"J&K Governor Satya Pal Malik on Saturday said that he has managed to change people's perception towards Governor's post and has worked more than an elected government. People think Governors play golf and do nothing, he said. ""But the...work that we've done in past one year, I don't think even an elected government does that much work,"" Malik added.",politics
We should respect all languages equally: Mamata Banerjee,"West Bengal CM Mamata Banerjee on Saturday wished people on Hindi Diwas and said everybody should respect all languages and cultures equally. Her statement came after Home Minister Amit Shah said Hindi which is spoken the most can unite the country. ""We may learn many languages but should never forget our mother-language,"" she tweeted.",politics
It is India not Hindiya: DMK over Shah's Hindi Diwas tweet,"DMK President MK Stalin on Saturday criticised Home Minister Amit Shah's tweet on Hindi Diwas and asked him to withdraw his statement. Earlier today, Shah tweeted that Hindi can play a key role in 'uniting the country' and urged people to use it more. ""Unity in diversity is the foundation of this country...this is India, not Hindiya,"" Stalin said.",politics
Starting 462 Eklavya schools for tribal youth's development: PM,"Prime Minister Narendra Modi on Thursday said that for the development and education of tribal children and youth, his government is starting a ""big project"". ""We're setting up 462 Eklavya Model Residential Schools (EMRS) across the country,"" he added while addressing a gathering in Ranchi. The EMRS are aimed at providing quality education to the Scheduled Tribes' children.",politics
Disney CEO resigns from Apple board ahead of Apple TV+ launch,"Walt Disney CEO Bob Iger resigned from Apple's board of directors on September 10, regulatory filings revealed. This comes ahead of the launch of Apple's recently unveiled video streaming subscription service Apple TV+, which stands as a direct rival to the entertainment conglomerate's own service, Disney+. Iger became an Apple director shortly after Apple Co-founder Steve Jobs' death in 2011.",business
We're in midst of a protracted economic slowdown: Manmohan Singh,"Former PM Manmohan Singh said PM Narendra Modi's talk of making India a $5-trillion economy by 2024 resembles a ""pipe dream"" as for this ""we need growth rate of 12% per annum in nominal terms and 9% in real terms."" The atmosphere is one of ""gloom and doom"" and ""we're in the midst of a protracted economic slowdown,"" he added.",business
Zomato suspends its 'Infinity Dining' programme,"Zomato has suspended its 'Infinity Dining' programme from its app amid issues with restaurants over ""deep and unsustainable"" discounting. Introduced in July, the 'Infinity Dining' programme allowed Zomato Gold subscribers to order unlimited food and drinks at a set price from the menu of partner restaurants for a limited period of time.",business
India to organise Dubai-like mega shopping festival in 4 places,"Finance Minister Nirmala Sitharaman on Saturday announced that India will organise an annual mega shopping festival in four places across the country in March 2020 to promote exports. The shopping festival will be on the lines of Dubai Shopping Festival, she added. It will focus on four themes — gems and jewellery, handicraft/yoga/tourism, textiles, and leather.",business
"Govt announces ₹20,000 crore fund for stuck housing projects","The government has said it will create a fund to provide last-mile funding to affordable and middle-income housing projects, benefitting 3.5 lakh homebuyers. The government will contribute ₹10,000 crore to the fund while outside investors will bring in another ₹10,000 crore. The funding will be made available for projects that are not in bankruptcy process or classified as non-performing assets. ",business
China tells state firms to take control of Hong Kong firms: Reports,"China has called on its biggest state-run firms to take control of Hong Kong companies instead of just holding stakes in them, Reuters reported. China urged representatives from nearly 100 of China's largest state-run companies to help calm the unrest in Hong Kong. The companies reportedly pledged to invest more in key Hong Kong industries, including real estate and tourism.",business
Fires at Saudi Aramco oil facilities after drone attacks,"Drone attacks on two oil facilities owned by Saudi Arabia's state-owned oil giant Saudi Aramco in Abqaiq and Khurais provinces on Saturday caused fires, a Saudi interior ministry spokesman said without identifying the source of the drones. A Saudi-led military coalition has been battling Yemen's Houthis rebels since March 2015, and the latter have launched similar attacks in the past.",business
"Facebook VP counters Ambani, says data is not oil to be hoarded","Countering Mukesh Ambani, Facebook VP (Global Affairs) Nick Clegg said data isn't the new oil and countries like India shouldn't hoard it within national boundaries. The value of data comes from allowing it to flow freely and encouraging the innovation that comes from it, Clegg added. Ambani had said India's data must be owned by Indians and not by corporates.",business
Real estate lender Altico defaults as chief Naina Lal Kidwai quits,"Altico Capital, a lender to real estate companies, said it has defaulted on interest payment of ₹19.97 crore due on September 12 to Dubai-based Mashreqbank. The default occurred on a principal of ₹340 crore, said Altico, whose Chairperson Naina Lal Kidwai, former head of HSBC India, resigned earlier this month. Flipkart Co-Founder Sachin Bansal is reportedly among Altico's lenders.",business
"US, China tariffs could lower global GDP by 0.8% in 2020: IMF","The International Monetary Fund (IMF) on Thursday said that tariffs imposed or proposed by the US and China could lower global economic output by 0.8% in 2020. The impact of the US-China trade war and other trade disputes is now being felt, IMF spokesman Gerry Rice said. He added that the tariffs could trigger additional losses in future years.",business
London Stock Exchange rejects Hong Kong Exchanges' $39 bn takeover bid,London Stock Exchange (LSE) board has unanimously rejected Hong Kong Exchanges and Clearing's $39 billion takeover offer. The 300-year-old British bourse said it remains committed to its proposed acquisition of financial information provider Refinitiv. Hong Kong Exchanges said its takeover would only happen if the LSE ended its deal with Refinitiv.,business
India may sell Bharat Petroleum to foreign oil company: Reports,"India is planning to sell Bharat Petroleum Corporation (BPCL) to a global oil company, according to reports. The government currently holds a 53.3% stake in the country's second-largest state-owned refiner. Selling the stake can help the government meet more than 40% of the ₹1.05 lakh crore disinvestment target for the ongoing financial year based on BPCL's Thursday closing price.",business
Delhi Police investigates Budweiser owner in tax evasion case,"Delhi Police is investigating a case of alleged tax evasion involving Budweiser owner AB InBev after receiving a request from the Delhi government. Local authorities barred AB InBev in July from selling its beer in Delhi for three years over alleged tax evasion. Delhi Police said it would conduct its own probe before registering a formal case.

",business
Govt imposes $850/tonne minimum export price to curb onion shipments,"The government has imposed an $850 (₹60,300) per tonne minimum export price on onion shipments to discourage the vegetable's exports and bring down local prices. Mumbai-based Onion Exporters' Association said no one would buy from India at this price. Wholesale prices in India's largest onion trading hub, Lasalgaon in Maharashtra, have nearly doubled in a month to ₹29,500 per tonne.",business
Infosys' Gopalakrishnan to head govt panel on non-personal data,The Ministry of Electronics and Information Technology (MeitY) has constituted a committee to study issues related to non-personal data and to come up with related data governance framework. The eight-member committee will be headed by Infosys Co-Founder Kris Gopalakrishnan. The panel was formed based on the recommendations of the Justice BN Srikrishna committee on protection of personal data.,business
Polish flag carrier enters India after 25 yrs with Warsaw-Delhi route,"Poland's flag carrier, LOT Polish Airlines, on Thursday started Warsaw-Delhi direct flight, which is slated to fly five times a week. LOT Polish had discontinued its regular flight between the two capitals via Tashkent in 1994. The airline, which is a part of the Star Alliance, also has a codeshare agreement with Indian national carrier Air India.
",business
India's economic growth is much weaker than expected: IMF,"The International Monetary Fund (IMF) spokesperson Gerry Rice has said that the recent economic growth in India is ""much weaker than expected"". He said that it's weaker mainly due to ""corporate and environmental regulatory uncertainty"" and ""lingering weakness in some non-bank financial companies"". In July, IMF had cut India's GDP growth forecast for 2019-20 to 7% from 7.3%. ",business
Interpol issues Red Corner Notice to Nirav's brother over PNB scam,"The Interpol has issued Red Corner Notice against fugitive diamond trader Nirav Modi's brother Nehal in connection with the ₹14,000-crore PNB scam. As per the notice, the 40-year-old can be hunted and arrested in any country. Earlier, the Enforcement Directorate had requested the Interpol to issue the notice against Nehal, who's a Belgian citizen, for his role in helping Nirav.",business
Not scared of making mistake: Goyal on crediting Einstein for gravity,"Commerce Minister Piyush Goyal has acknowledged that he made a mistake by crediting the discovery of gravity to Albert Einstein instead of Isaac Newton. ""Mistakes are made by everybody and I'm not one of them who is scared of making a mistake,"" he said. ""Einstein has said, 'A person who never made a mistake never tried anything new',"" Goyal added.",business
"Top trader body seeks ban on Amazon, Flipkart's festive season sales ","The Confederation of All India Traders (CAIT) has asked the government to ban upcoming festive sales on Amazon and Flipkart, saying their deep discounts violate FDI rules. It also demanded a ""blanket ban"" on such sales and asked the government to probe the potential violation of FDI norms. Both Amazon and Flipkart said sellers decide the pricing for their products.",business
"Nita Ambani, kids get notices for undeclared foreign assets: Reports","The Income Tax Department in March served notices to Mukesh Ambani's wife Nita Ambani and their three children for alleged ""undisclosed foreign income and assets"", The Indian Express reported. Authorities alleged that Ambanis failed to disclose holdings in Capital Investment Trust and its ""underlying company"" Cayman Islands-based Infrastructure Company, of which they were ""ultimate beneficiaries"".",business
"Bank of Baroda puts Dena Bank HQ on sale, seeks at least ₹530 cr","Bank of Baroda has put up for auction the headquarters of erstwhile Dena Bank in Mumbai's Bandra Kurla Complex at a reserve price of ₹530 crore. This follows the merger of Bank of Baroda with Dena Bank and Vijaya Bank. However, the bank said that movable furniture and other fixtures in the property won't be part of the auction.",business
"FM announces ₹50,000 crore tax relief scheme for exporters","Finance Minister Nirmala Sitharaman has announced that the scheme for Remission of Duties or Taxes on Export Product (RoDTEP) will replace the Merchandise Exports from India Scheme. She said the new scheme will more than adequately incentivise exporters than existing schemes put together. Sitharaman added the revenue foregone from the scheme has been projected at up to ₹50,000 crore.
",business
Iran signs $440mn deal to develop gas field in Gulf amid US sanctions,"Iran has signed a $440-million deal with the local company Petropars to develop the Belal gas field in the Gulf amid the US sanctions on import of Iranian oil. ""This is a sign that we are still functioning with sanctions at their peak...We are alive, we are active and working for Iran's oil industry,"" Oil Minister Bijan Zanganeh said.",business
"EPFO corpus to grow by ₹15,000 cr after J&K reorganisation","Jammu and Kashmir's bifurcation into Union Territories will boost the retirement saving corpus of Employees' Provident Fund Organisation (EPFO) by over ₹15,000 crore. This comes after the central body took over the state PF corpus and brought their organised sector employees under its social security net. It will bring in over 12,000 firms and establishments under the pension fund ambit. ",business
Zomato to launch original food-centric video streaming service,"Food delivery giant Zomato has announced a foray into video streaming with ""Zomato Originals"" and will launch 18 original food-centric shows over the next three months, starting September 16. The shows will be available under a new ""Videos"" tab in the Zomato app. Videos will have a 3-15 minute duration and mainly revolve around recipes and 'Sneak Peek' restaurant stories.",startup
"Info Edge loses ₹2,600 crore market value after Zomato fires 541","Info Edge saw its market value erode by about ₹2,600 crore after Zomato laid off 541 employees across customer support teams. Shares of Info Edge, which holds a 26.40% stake in the food delivery startup, fell 10% in the last two sessions amid concerns over a deeper slowdown in consumption. Zomato's loss in 2018-19 increased 10-fold to about ₹2,000 crore.
",startup
"Fintech startup FamPay may raise $8 mn from Sequoia, Lightspeed","Bengaluru-based fintech startup FamPay is in talks with Sequoia Capital and Lightspeed to raise up to $8 million, Entrackr reported. The round could reportedly see participation from several angel investors including former WhatsApp Business Chief Neeraj Arora. Founded by IIT-Roorkee graduates, FamPay is a family-friendly digital payment app where parents can safely send money to their children.",startup
Zomato suspends its 'Infinity Dining' programme,"Zomato has suspended its 'Infinity Dining' programme from its app amid issues with restaurants over ""deep and unsustainable"" discounting. Introduced in July, the 'Infinity Dining' programme allowed Zomato Gold subscribers to order unlimited food and drinks at a set price from the menu of partner restaurants for a limited period of time.",startup
WeWork communications head quits ahead of planned IPO,"WeWork's Chief Communications Officer Jennifer Skyler has resigned from the co-working space giant to become the Chief Corporate Affairs Officer at American Express. Skyler, a former Consumer Communications Director at Facebook, has worked at WeWork for over 3.5 years. This comes ahead of the startup's planned move to go public, which it had confidentially filed its documents for in April.",startup
Pet products startup Heads Up For Tails raises over ₹70 crore,"Delhi-based pet products startup Heads Up For Tails has raised $10 million (over ₹70 crore) in pre-Series A funding round. Founded by London School of Economics alumnus Rashi Narang, the startup earlier raised funding through two seed rounds in February 2016 and January 2017. It currently operates in around 25 stores across Delhi, Bengaluru, Mumbai, Pune, Chennai and Hyderabad.",startup
"Journo assaulted by Uber driver, says police refused to file complaint","A journalist has accused an Uber driver of harassing and assaulting her and her colleague when they were travelling from Greater Noida to Delhi. She claimed that the driver made racial remarks against them and pulled her laptop bag and held her colleague by his neck when they were getting down. Police also refused to lodge her complaint, she added.",startup
Lenskart to get at least ₹392 crore from Mumbai's Kedaara,"Faridabad-based eyewear startup Lenskart is raising at least ₹392 crore in its ongoing Series F round from Mumbai-based private equity firm Kedaara Capital, Entrackr reported citing regulatory filings. Past reports claimed that Kedaara is in talks to buy Lenskart shares via a secondary deal at billion-dollar valuation. Lenskart is also reportedly in talks with SoftBank for a $350-million funding.",startup
OYO buys 4-star ITC-managed Jaipur hotel for up to ₹40 cr: Report,"OYO has reportedly purchased the four-star Fortune Select Metropolitan Jaipur hotel, managed by ITC Hotels, from UAE-based Emaar Properties for ₹35-40 crore. The Gurgram-based startup has also acquired a 64-suite building in Ahmedabad to develop a premium hotel. OYO is reportedly in advanced talks with about 10 premium properties owners to enter the five-star and seven-star hotel space as well.",startup
Music streaming platform JioSaavn raises ₹140 crore from Reliance,"Music streaming platform JioSaavn has raised over ₹140 crore from its parent entity Reliance Industries (RIL). The Mukesh Ambani-led conglomerate had acquired Saavn music app and merged it with its music streaming platform JioMusic to create the billion-dollar JioSaavn platform last year. Saavn had raised $110 million (over ₹780 crore) before the acquisition, as per Crunchbase.",startup
IIT-B's E-Cell announces Business Model Competition Eureka! 2019,"E-Cell, IIT-Bombay has announced a Business Model Competition, Eureka!'19, with prizes worth ₹50 lakh. The 5-month educational experience is designed to emulate the process of raising funds for startup, from writing business plans to pitching it before an investor. Incentives include a feature in Forbes, AWS resources worth $15,000 and entry into Lee Kuan Yew Global Business Plan Competition. 
",startup
Vertex Ventures adds $290 mn fund for high-growth tech firms,"Singapore-based Vertex Venture Holdings has added a new $290 million venture capital fund targeting investments in high-growth technology firms. The Vertex Growth Fund will look to invest between $10 million-$15 million per company, mostly in the third or fourth funding rounds, compared to $3 million-$4 million by affiliate funds in early rounds. Vertex has invested in more than 200 companies. ",startup
"Govt may cap Ola, Uber surge price at thrice the base fare","The government will likely cap the surge price charged by cab aggregators like Ola and Uber at three times the base price during peak hours, reports said. The upcoming regulations for ride-hailing platforms will also address passenger safety issues and types of vehicles allowed. This follows the new motor vehicle law recognising cab aggregators as marketplaces for the first time.",startup
HRD Ministry asks institutes to use 1% of budget for startups,"The Human Resource Development Ministry (MHRD) has asked Higher Education Institutions (HEI) to allocate at least 1% of their annual budget for funding and supporting startups and innovation-related activities. As per MHRD's guidelines, HEIs will set up ""innovation fund"" for the purpose. HEIs will also have to provide round-the-clock pre-incubation and incubation facilities to students and staff.",startup
GrabOnRent settles with GrabOn over trademark infringement,"Bengaluru-based products rental startup GrabOnRent has agreed to settle with coupons retailer GrabOn over trademark infringement allegations. GrabOnRent agreed that it and its vendors will not sell, advertise and deal in goods or services under ""GrabOnRent"", ""GrabOn"" or similar trademarks within a specified timeframe. The case was settled before Delhi High Court Mediation and Conciliation Centre.",startup
Autonomous vehicle startup Voyage raises $31 million,"Silicon Valley's autonomous vehicle startup Voyage has raised $31 million in a Series B round led by investment management firm Franklin Templeton. Jaguar Land Rover's InMotion Ventures, Chevron Technology Ventures and Khosla Ventures also took part in the round. Co-founded in 2017 by Oliver Cameron and MacCallister Higgins, the startup operates self-driving cab services in retirement communities.",startup
Fintech startup Lendingkart's COO Mukul Sachan resigns,"The COO of Ahmedabad-based Lendingkart, Mukul Sachan, has quit the fintech startup. Sachan, who had co-founded Lendingkart along with Harshvardhan Lunia in 2014, will continue as a mentor and a consultant for the digital lending startup and may reportedly start a new venture. An IIM graduate, Sachan earlier worked as a scientist at the Indian Space Research Organisation (ISRO).",startup
Yahoo Japan to buy majority stake in Zozo for $3.7 bn,Yahoo Japan has agreed to pay about $3.7 billion for a majority stake in online fashion shopping site Zozo Inc. Yahoo Japan said it would launch a tender offer to buy about 50.1% stake in Zozo for nearly $24 per share. That is a 21% premium on Zozo's Wednesday's closing price. Zozo founder Yusaku Maezawa will step down as CEO. ,startup
WeWork cuts CEO Adam Neumann's voting power amid IPO plans,"Co-working space startup WeWork's owner The We Company has cut the voting power of Co-founder and CEO Adam Neumann to reportedly revive demand for its planned IPO. The startup, seeking a valuation of less than half from before, said the changes were ""in response to market feedback"". It decreased Neumann's superior voting shares to 10 votes per share from 20.",startup
Goa's e-bike eco-tourism startup B:live raises ₹4 crore,Goa-based e-bike eco-tourism startup B:live has raised ₹4 crore in a strategic investment round from entertainment and event management entity DNA Entertainment Networks. B:live had raised ₹1 crore earlier this year in seed funding led by Vimson Group Chairman and MD Shivanand V Salgaocar and Dempo Group Chairman Shrinivas V Dempo. B:live was founded by Samarth Kholkar and Sandeep Mukherjee.,startup
Fashion e-tail startup StalkBuyLove faces cash crunch,"Fashion e-tailing startup StalkBuyLove has reportedly been facing a cash crunch for the last six months. Several customers, vendors and fashion influencers like Komal Pandey took to social media to criticise the e-tailer and its co-founders for absconding without clearing payments and product deliveries. Some customers alleged that refunds for cancelled deliveries have been pending for months.
",startup
IITians' waterless solar panel cleaning startup Nocca gets ₹12 cr,"Pune-based startup Nocca Robotics has raised over ₹12 crore in a funding round led by IAN Fund with participation from angel investors of the Indian Angel Network. Founded in 2017, Nocca uses AI, machine learning, deep learning and robotics to provide automated, waterless and shareable solar panel cleaning solutions. It was founded by IIT-Kanpur graduates Harshit Rathore and Nikhil Kurele.",startup
Fintech startup OkCredit raises $67 mn led by Tiger Global,"Bengaluru-based fintech startup OkCredit has raised $67 million in a Series B round of funding led by existing investors Tiger Global and Lightspeed. Founded in 2017 by IIT alumni Harsh Pokharna, Aditya Prasad and Gaurav Kunwar, OkCredit lets merchants and customers record their credit and payment transactions digitally across India. The startup had in June raised $15.5-million Series A funding.",startup
Hungry Foal raises pre-Series A round led by Madison Capital,"Gurugram-based healthy snacks manufacturer Hungry Foal has raised an undisclosed amount in a pre-Series A round led by Singapore-based Madison Capital. InnerChef Co-Founder Rajesh Sawhney, Startup Buddy CEO Amit Singal and senior corporate executives also participated in this round. The company had previously raised funds from GAIL and an undisclosed amount of debt from State Bank of India. ",startup
Amazon Prime Video launches song & music video for The Family Man,"Amazon Prime Video launched a music video for their upcoming original, The Family Man. ""Dega Jaan"", composed by Sachin-Jigar, is performed by Shreya Ghoshal and Mellow D. Featuring Manoj Bajpayee as Srikant Tiwari, it showcases his struggle of managing life as a family man and spy. It will feature on Amazon Prime Music, a week before other music streaming services.",entertainment
This is my father's money: Farmer's son who won ₹1 crore on KBC,"Sanoj Raj from Bihar, who became the first contestant to win ₹1 crore on Kaun Banega Crorepati season 11, has said that he considers the money to be his father's. ""My father is a farmer. It's not about giving money to him. It's his money,"" he stated. He added that his father couldn't complete his studies due to family conditions.",entertainment
Used hairdresser's hand in magazine as I had short nails: Neetu on old pic,"Actress Neetu Kapoor on Friday shared the picture of an old magazine cover featuring her. She captioned the post, ""#funfact Rakesh Shrestha ace photographer (Rohan Shrestha's dad) had a cover concept...face with red lipstick and red nails!!!"" ""Since my nails were short we used my hairdresser's hand...the hand posture looks so weird,"" Neetu further revealed.",entertainment
What was KBC 11's ₹1-cr winning question answered by Sanoj Raj?,"Bihar's Sanoj Raj has become the first contestant to win ₹1 crore on 'Kaun Banega Crorepati' season 11. Sanoj was asked, ""The father of which Chief Justice of India was once Chief Minister of an Indian state?"" CJI Ranjan Gogoi's father Kesab Chandra Gogoi was a Congress politician who served as Chief Minister of Assam for two months in 1982.",entertainment
What was KBC 11's ₹7-crore question that wasn't answered?,"For the ₹7-crore question on KBC 11, Bihar's Sanoj Raj was asked, ""Who was the Indian bowler off whom Australian legend Don Bradman got a single to reach his 100th first class century?"" Sanoj quit as he didn't know the answer. When Amitabh Bachchan asked him to guess, he picked option B, although the correct answer was option C.",entertainment
Kevin Hart released from hospital 10 days after car accident: Reports,"Actor-comedian Kevin Hart was released from hospital 10 days after he injured his back in a car accident, as per reports. The 40-year-old is now recovering from his injury in a rehabilitation facility, reports added. He had reportedly undergone back surgery due to the ""major back injuries"" he suffered in the accident.",entertainment
Waited for beautiful ladies to take same bus as mine in college: Big B,"Amitabh Bachchan, in an episode of Kaun Banega Crorepati season 11 recalled his college days and said, ""[A] bus used to...leave me at my university."" ""Through [the] route, a lot of good looking college-going ladies...used to take this bus,"" he added. ""We used to eagerly wait for the stop to arrive faster and...for beautiful ladies to get in,"" said Bachchan.",entertainment
It was the season of MeToo: Chunky on allegations on Sajid Khan,"Speaking about sexual harassment allegations on filmmaker Sajid Khan, actor Chunky Panday said, ""When these allegations came, it was a shocker to everyone...it was the season of MeToo, and everyone was getting exposed."" ""The thing is Sajid has always been a very very outspoken person...A lot of people might misunderstand Sajid Khan...I know Sajid since childhood,"" he added.",entertainment
There was pain but no diagnosis: Shraddha on struggling with anxiety,"Actress Shraddha Kapoor has revealed that just after Aashiqui 2 she started having ""physical manifestation of anxiety"", stating, ""There was this pain happening where there was no physiological diagnosis."" Further talking about her struggle with anxiety, she said, ""Today, it's something that I still deal with but it has become so much better than what it was.""",entertainment
'Chandrakanta' director's son booked for forcibly kissing 6-yr-old boy,"The 45-year-old son of Nirja Guleri, director of 90s television show 'Chandrakanta', has been booked for allegedly forcibly kissing a 6-year-old boy in Delhi's Lodhi Garden. Police said preliminary investigation revealed the man is ""mentally unstable"", but only a medical examination will be able to confirm it. The boy's father claimed the incident happened when they went for a walk.
",entertainment
Women are constantly under pressure to look beautiful: Nandita Das,"Actress Nandita Das has said that women are constantly under pressure to look beautiful, which shouldn't be the case. ""Women are intelligent, they have skills and talent so, they can do a lot of things,"" she added. Nandita is a supporter of 'Dark Is Beautiful' campaign, which focusses on the issue of colour discrimination men and women face in society.",entertainment
"Kenyan couple sings DDLJ song, Anupam Kher shares video","Actor Anupam Kher who starred in Dilwale Dulhania Le Jayenge (DDLJ) in 1995 along with Shah Rukh Khan and Kajol has shared on Twitter a video of a Kenyan couple lip-syncing 'Tujhe Dekha Toh' song from the movie. Anupam captioned his tweet, ""Presenting #Sharukh and #Kajol from Kenya...[V]ideo shared by the man who composed the song, @pandit_lalit. Enjoy. #MusicIsUniversal.""",entertainment
Adele files for divorce from estranged husband Simon Konecki,"Oscar winning singer Adele reportedly filed for divorce from her estranged husband Simon Konecki on Thursday in Los Angeles. This comes five months after the couple announced their separation in April. ""They are committed to raising their son together lovingly. As always they ask for privacy,"" Adele's representatives had earlier said.",entertainment
Dharmendra breaks down on the sets of Superstar Singer,"On the sets of the reality show 'Superstar Singer', actor Dharmendra couldn't control his tears when he watched a video of his journey from Punjab to Bollywood. ""Rula diya yaar, tumne mujhe rula diya. Yahi mai khwab dekhta tha yahan aane ke,"" Dharmendra said. ""Us pul...se kehta hu ki Dharmendra tu actor ban gaya yaar,"" he added.",entertainment
Ashton Kutcher allegedly cheated on Demi Moore with 2 women: Book,"In her upcoming memoir 'Inside Out', actress Demi Moore has reportedly accused ex-husband Ashton Kutcher for cheating on her with two women in a bathtub. Moore was pregnant and suffered a miscarriage when she was dating Kutcher, as per reports. She reportedly blamed herself for the miscarriage as she had started drinking again after being sober for a while.",entertainment
Actress Felicity Huffman gets 14 days in prison for college scandal,"Emmy and Golden Globe Award winner Felicity Huffman has been sentenced to 14 days in prison for rigging her daughter's entrance exam scores for US college admissions. The 'Desperate Housewives' actress had paid $15,000 to improve her daughter's SAT score in 2017. Felicity has also been charged with an year of probation, $30,000 fine and 250 hours of community service.",entertainment
Mumbai dance group reaches finale of America's Got Talent,"Mumbai based dance group 'V Unbeatable' has reached the final round of the 14th season of America's Got Talent. The group got a standing ovation from show's three judges for their semi-final performance after they performed on song 'Jashn-E-Ishqa' from the film 'Gunday'. The group has 29 dancers aged between 12-27 and many of them are from Mumbai slums.
",entertainment
TV actress Kamya Punjabi to get married next year,"TV actress Kamya Punjabi will reportedly get married to boyfriend Shalabh Dang next year. ""Some days I want a destination wedding, the other days I want to just get married in front of Ganpati,"" Kamya said. Talking about Shalabh, Kamya added, ""Around February, I connected with him...less than a month into the friendship, he proposed marriage.""",entertainment
Our kids are first projects we did together: Shahid on his children,"Shahid Kapoor said that for him and wife Mira Rajput, their kids- Misha Kapoor and Zain Kapoor were the ""first two projects they actually did together."" ""One year into an arranged marriage...you really evolve around each other,"" Shahid added. He also revealed that roles are perfectly cut out and Mira is 'the disciplinarian' and he is 'the softy'.",entertainment
Would've loved to play Alia's role in Kapoor & Sons: Nushrat ,"Actress Nushrat Bharucha said that she would've loved to play Alia Bhatt's character in 'Kapoor & Sons'. ""Even though it was about a family, I enjoyed watching her because the character was so nicely weaved in,"" Nushrat said. Talking about her film choices, Nushrat added, ""If suddenly one of the films did well...it can't change the choices I've been making.""",entertainment
Ali Fazal to star opposite Gal Gadot in ‘Death on the Nile’,"Actor Ali Fazal will share screen space with 'Wonder Woman' actress Gal Gadot in the upcoming film based on author Agatha Christie's 'Death on the Nile'. ""I'm... excited to be part of this wonderful journey,"" he said. He had earlier acted in 'Victoria and Abdul' along with Judi Dench and also played a small role in 'Fast & Furious 7'.
",entertainment
My father doesn't give my number to anyone: Sonam on nepotism,"When Dulquer Salmaan said that his father doesn't entertain calls related to work for his son, his 'The Zoya Factor' co-star Sonam Kapoor revealed that her father Anil Kapoor doesn't even give her number to anyone. Talking about nepotism, Sonam added, ""Any smart person or someone with wisdom should get online and look for its [nepotism] meaning.""",entertainment
So many people are earning because of Kapil: Bharti,"Talking about Kapil Sharma, comedian Bharti Singh said in an interview that so many people are earning because of him. ""His comeback was much needed...[P]eople have bought big cars, houses by doing shows with him,"" she added. Bharti further revealed that Kapil has changed after marriage and said, ""He has stopped drinking, smoking and eats ghar ka khaana.""",entertainment
I will never do something regressive: Ayushmann Khurrana,"Actor Ayushmann Khurrana said that ""being part of progressive cinema"", he'll never do something regressive. ""I'll never do something which is...outdated as far as message is concerned,"" Ayushmann added. Talking about his latest release 'Dream Girl', he said, ""The way the songs are placed in the film is also like the nineties...[It] still gives a message in the end.""",entertainment
It was a phase that changes you: Neetu after Rishi's return,"After Rishi Kapoor's return to India, his wife Neetu Kapoor wrote on Thursday, ""Where did these last 11 months go?? Was a long road!!!"" ""It was a phase that taught and changed me a lot,"" she further added. Rishi Kapoor, who was undergoing cancer treatment in New York, tweeted on Tuesday, ""BACK HOME!!!!!! 11 Months 11 days! Thank you all.""",entertainment
Reducing Chandrayaan-2 Orbiter's orbit dangerous: Ex-ISRO official,"Responding to reports that ISRO is planning to reduce Chandrayaan-2 Orbiter's orbit, a former ISRO official told IANS that doing so is a ""dangerous idea"". ""Even if Orbiter is able to pick weak signals, in all probability, it won't be able to revive Vikram,"" the ex-official said, adding that the Orbiter will consume more fuel to maintain the lowered orbit.",science
